72,73,73,73,73,73,73,73,73,73,74,73,73,73,73,73,73,73,73,73,73,16,17,73,74
75,-1,-1,-1,-1,-1,-1,-1,-1,47,77,46,-1,-1,47,-1,-1,-1,16,-1,-1,16,17,17,77
75,-1,67,-1,-1,-1,-1,-1,-1,-1,77,-1,-1,-1,45,-1,-1,62,16,-1,-1,-1,-1,17,77
75,-1,-1,-1,-1,-1,-1,-1,-1,-1,77,-1,34,-1,-1,-1,-1,-1,16,-1,-1,-1,-1,17,77
75,-1,-1,-1,-1,-1,-1,-1,-1,-1,77,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,77
75,-1,-1,-1,-1,-1,-1,-1,-1,-1,77,-1,-1,64,-1,-1,-1,-1,-1,45,3,-1,-1,2,77
75,-1,-1,-1,32,-1,-1,-1,41,-1,77,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,1,1,16,77
75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,46,-1,-1,-1,-1,77
75,44,-1,-1,-1,-1,-1,-1,46,-1,77,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,77
78,79,79,79,-1,79,79,79,79,79,80,79,79,79,79,79,76,79,-1,-1,-1,-1,-1,-1,77
75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,45,-1,-1,-1,-1,77
75,-1,-1,-1,-1,-1,9,-1,-1,-1,-1,-1,-1,-1,75,-1,-1,-1,-1,-1,-1,-1,-1,-1,77
75,-1,-1,10,-1,-1,-1,-1,-1,11,-1,-1,-1,-1,75,-1,-1,-1,46,-1,-1,47,-1,-1,77
75,-1,-1,10,-1,-1,-1,-1,-1,11,-1,-1,-1,-1,75,-1,-1,-1,-1,-1,-1,-1,-1,-1,77
75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,46,-1,-1,77
75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,57,-1,-1,51,7,-1,-1,-1,-1,-1
72,73,73,73,-1,73,73,73,74,69,69,69,-1,69,6,-1,-1,-1,-1,7,-1,-1,18,-1,-1
75,-1,-1,-1,-1,-1,-1,-1,77,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,7,-1,-1,-1,-1,-1
75,-1,72,73,73,73,74,-1,77,-1,66,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,18,-1,-1
75,-1,75,-1,-1,-1,77,-1,77,-1,-1,-1,-1,-1,-1,-1,62,-1,62,-1,-1,-1,-1,-1,77
75,-1,75,-1,-1,-1,77,-1,77,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
75,-1,75,63,-1,63,77,-1,77,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,-1
75,-1,78,79,-1,79,80,-1,17,-1,-1,-1,-1,-1,-1,17,-1,-1,-1,-1,-1,-1,-1,-1,77
75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,77
78,79,79,79,79,79,79,79,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,76,69,69,69,80
